a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,date,genre,mp_rating,runtime,titles,year
,,,,,,,,,,,,,
"
        ,
        85,765",60%,"
                Hugh Grant","
                Brendan Gleeson","
                Martin Freeman","$31,051,126 ",127,86,27-Apr-12,"
                        Action & Adventure,
                        Animation,
                        Comedy","PG (for mild action, rude humor and some language)","
                    88 minutes
                ","
                The Pirates! Band of Misfits",-2012
,,,,,,,,,,,,,
"
        ,
        84,929",86%,"
                Jake Gyllenhaal","
                Michael Peña","
                Anna Kendrick","$39,100,000 ",147,85,21-Sep-12,"
                        Drama","R (for strong violence, some disturbing images, pervasive language including sexual references, and some drug use)","
                    109 minutes
                ","
                End of Watch",-2012
,,,,,,,,,,,,,
"
        ,
        138,018",89%,"
                Logan Lerman","
                Emma Watson","
                Ezra Miller","$14,900,000 ",131,86,21-Sep-12,"
                        Drama","PG-13 (for mature thematic material, drug and alcohol use, sexual content including references, and a fight - all involving teens)","
                    103 minutes
                ","
                The Perks of Being a Wallflower",-2012
,,,,,,,,,,,,,
"
        ,
        25,086",75%,"
                Frank Langella","
                Susan Sarandon","
                James Marsden","$3,200,000 ",111,87,17-Aug-12,"
                        Comedy,
                        Drama,
                        Science Fiction & Fantasy",PG-13 (for some language),"
                    90 minutes
                ","
                Robot & Frank",-2012
,,,,,,,,,,,,,
"
        ,
        11,024",80%,"
                Robert Wieckiewicz","
                Robert Wi?ckiewicz","
                Benno Fürmann","$1,038,733 ",95,88,10-Feb-12,"
                        Drama","R (for violence, disturbing images, sexuality, nudity and language)","
                    145 minutes
                ","
                In Darkness",-2012
,,,,,,,,,,,,,
"
        ,
        3,167",62%,"
                Thure Lindhardt","
                Zachary Booth","
                Julianne Nicholson","$243,536 ",55,90,7-Sep-12,"
                        Drama,
                        Gay & Lesbian",NR,"
                    101 minutes
                ","
                Keep the Lights On",-2012
,,,,,,,,,,,,,
"
        ,
        16,852",82%,"
                Mads Mikkelsen","
                Alicia Vikander","
                Mikkel Boe Følsgaard","$1,545,726 ",92,89,9-Nov-12,"
                        Art House & International,
                        Drama",R (for sexual content and some violent images),"
                    137 minutes
                ","
                A Royal Affair",-2012
,,,,,,,,,,,,,
"
        ,
        52,649",62%,"
                Susan Sarandon","
                Richard Gere","
                Tim Roth","$7,918,283 ",138,87,14-Sep-12,"
                        Drama,
                        Mystery & Suspense","R (for language, brief violent images and drug use)","
                    107 minutes
                ","
                Arbitrage",-2012
,,,,,,,,,,,,,
"
        ,
        257,019",82%,"
                Jonah Hill","
                Channing Tatum","
                Brie Larson","$134,000,000 ",180,85,16-Mar-12,"
                        Action & Adventure,
                        Comedy","R (for crude and sexual content, pervasive language, drug material, teen drinking and some violence)","
                    109 minutes
                ","
                21 Jump Street",-2012
,,,,,,,,,,,,,
"
        ,
        23,689",72%,"
                Shlomo Bar-Abba","
                Lior Ashkenazi","
                Alisa Rosen","$1,900,000 ",79,90,9-Mar-12,"
                        Drama","PG (for thematic elements, brief nudity, language and smoking)","
                    105 minutes
                ","
                Footnote",-2012
,,,,,,,,,,,,,
"
        ,
        39,186",76%,"
                Dwight Henry","
                Lowell Landes","
                Levy Easterly","$12,784,397 ",165,86,27-Jun-12,"
                        Drama","PG-13 (for thematic material including child imperilment, some disturbing images, language and brief sensuality)","
                    91 minutes
                ","
                Beasts of the Southern Wild",-2012
,,,,,,,,,,,,,
"
        ,
        82,838",72%,"
                Kodi Smit-McPhee","
                Tucker Albrizzi","
                Casey Affleck","$55,994,557 ",148,87,17-Aug-12,"
                        Action & Adventure,
                        Animation,
                        Comedy,
                        Kids & Family","PG (for scary action and images, thematic elements, some rude humor and language)","
                    93 minutes
                ","
                ParaNorman",-2012
,,,,,,,,,,,,,
"
        ,
        237,889",86%,"
                John C. Reilly","
                Sarah Silverman","
                Jack McBrayer","$189,412,677 ",148,87,2-Nov-12,"
                        Animation,
                        Comedy,
                        Kids & Family",PG (for some rude humor and mild action/violence),"
                    92 minutes
                ","
                Wreck-it Ralph",-2012
,,,,,,,,,,,,,
"
        ,
        13,812",60%,"
                Ann Dowd","
                Dreama Walker","
                Pat Healy","$318,622 ",120,89,17-Aug-12,"
                        Drama,
                        Mystery & Suspense,
                        Special Interest",R (for language and sexual content/nudity),"
                    90 minutes
                ","
                Compliance",-2012
,,,,,,,,,,,,,
"
        ,
        10,925",86%,"
                Keanu Reeves","
                David Lynch","
                Martin Scorsese","$28,592 ",61,92,17-Aug-12,"
                        Documentary,
                        Television",NR,"
                    98 minutes
                ","
                Side by Side",-2012
,,,,,,,,,,,,,
"
        ,
        3,569",69%,"
                Helene Bergsholm","
                Malin Bjørhovde","
                Henriette Steenstrup","$65,324 ",40,93,30-Mar-12,"
                        Comedy",NR,"
                    75 minutes
                ","
                Turn Me On, Dammit!",-2012
,,,,,,,,,,,,,
"
        ,
        6,056",74%,"
                Muhammet Uzuner","
                Yilmaz Erdogan","
                Taner Birsel","$138,730 ",66,92,4-Jan-12,"
                        Art House & International,
                        Drama",NR,"
                    150 minutes
                ","
                Once Upon a Time in Anatolia",-2012
,,,,,,,,,,,,,
"
        ,
        10,046",56%,"
                Diane Kruger","
                Léa Seydoux","
                Virginie Ledoyen","$611,026 ",72,92,13-Jul-12,"
                        Art House & International,
                        Drama",R (for brief graphic nudity and language),"
                    100 minutes
                ","
                Farewell, My Queen",-2012
,,,,,,,,,,,,,
"
        ,
        67,434",70%,"
                Charlie Tahan","
                Winona Ryder","
                Martin Landau","$35,287,788 ",178,87,5-Oct-12,"
                        Animation,
                        Comedy,
                        Horror,
                        Science Fiction & Fantasy","PG (for thematic elements, scary images and action)","
                    90 minutes
                ","
                Frankenweenie",-2012
,,,,,,,,,,,,,
"
        ,
        41,629",72%,"
                Jack Black","
                Matthew McConaughey","
                Shirley MacLaine","$5,900,000 ",137,89,27-Apr-12,"
                        Comedy",PG-13 (for some violent images and brief strong language),"
                    104 minutes
                ","
                Bernie",-2012
,,,,,,,,,,,,,
"
        ,
        901,619",81%,"
                Jennifer Lawrence","
                Josh Hutcherson","
                Liam Hemsworth","$407,981,652 ",239,84,23-Mar-12,"
                        Drama,
                        Mystery & Suspense,
                        Science Fiction & Fantasy",PG-13 (for intense violent thematic material and disturbing images - all involving teens),"
                    142 minutes
                ","
                The Hunger Games",-2012
,,,,,,,,,,,,,
"
        ,
        49,951",61%,"
                Joaquin Phoenix","
                Philip Seymour Hoffman","
                Amy Adams","$15,800,000 ",201,86,14-Sep-12,"
                        Drama","R (for sexual content, graphic nudity and language)","
                    138 minutes
                ","
                The Master",-2012
,,,,,,,,,,,,,
"
        ,
        2,765",73%,"
                Nadezhda Markina","
                Andrei Smirnov","
                Yelena Lyadova",,57,93,16-May-12,"
                        Drama","NR (for thematic elements, violence, language and smoking)","
                    109 minutes
                ","
                Elena",-2012
,,,,,,,,,,,,,
"
        ,
        46,645",80%,"
                Aubrey Plaza","
                Mark Duplass","
                Jake Johnson (XVI)","$4,007,792 ",126,90,8-Jun-12,"
                        Comedy,
                        Drama",R (for language including some sexual references),"
                    86 minutes
                ","
                Safety Not Guaranteed",-2012
,,,,,,,,,,,,,
"
        ,
        2,210",84%,"
                Koki Maeda ","
                Ohshiro Maeda ","
                Ryôga Hayashi","$145,697 ",65,93,11-May-12,"
                        Art House & International,
                        Drama","PG (for mild thematic elements, language and smoking)","
                    128 minutes
                ","
                I Wish",-2012
,,,,,,,,,,,,,
"
        ,
        11,638",84%,"
                Miko Fogarty","
                Jules Fogarty","
                Joan Sebastian Zamora","$894,471 ",66,93,30-Oct-12,"
                        Art House & International,
                        Comedy,
                        Documentary,
                        Drama,
                        Kids & Family,
                        Special Interest",NR,"
                    90 minutes
                ","
                First Position",-2012
,,,,,,,,,,,,,
"
        ,
        8,301",86%,"
                Ed Koch","
                David Dinkins","
                David Dinkins, Sr.","$273,747 ",66,93,23-Nov-12,"
                        Documentary,
                        Special Interest",NR,"
                    120 minutes
                ","
                The Central Park Five",-2012
,,,,,,,,,,,,,
"
        ,
        3,868",76%,"
                Jasna Fritzi Bauer","
                Nina Hoss","
                Ronald Zehrfeld",,71,93,21-Dec-12,"
                        Art House & International,
                        Drama","PG-13 (for some sexual material, thematic elements and smoking)","
                    105 minutes
                ","
                Barbara",-2012
,,,,,,,,,,,,,
"
        ,
        168,630",84%,"
                Suraj Sharma","
                Irrfan Khan","
                Tabu","$103,500,000 ",203,87,21-Nov-12,"
                        Action & Adventure,
                        Drama","PG (for emotional thematic content throughout, and some scary action sequences and peril)","
                    127 minutes
                ","
                Life of Pi",-2012
,,,,,,,,,,,,,
"
        ,
        8,107",85%,"
                Michelle Alexander","
                Shaniqua Benitez","
                Mark Bennett","$210,752 ",58,94,5-Oct-12,"
                        Documentary,
                        Special Interest",NR,"
                    110 minutes
                ","
                The House I Live In",-2012
,,,,,,,,,,,,,
"
        ,
        12,238",72%,"
                Denis Lavant","
                Edith Scob","
                Eva Mendes","$641,054 ",128,91,17-Oct-12,"
                        Drama,
                        Science Fiction & Fantasy,
                        Special Interest",NR,"
                    115 minutes
                ","
                Holy Motors",-2012
,,,,,,,,,,,,,
"
        ,
        2,098",79%,"
                Diana Vreeland","
                Tim Vreeland","
                Frecky Vreeland","$619,054 ",64,94,4-Feb-13,"
                        Documentary",PG-13 (for some nude images),"
                    92 minutes
                ","
                Diana Vreeland: The Eye Has To Travel",-2012
,,,,,,,,,,,,,
"
        ,
        2,815",89%,"
                Marina Abramovic","
                Ulay","
                Klaus Biesenbach","$40,344 ",41,95,16-Oct-12,"
                        Documentary,
                        Musical & Performing Arts",NR,"
                    105 minutes
                ","
                Marina Abramovic: The Artist Is Present",-2012
,,,,,,,,,,,,,
"
        ,
        1,965",88%,"
                Emad Burnat","
                Soraya Burnat","
                Mohammed Burnat","$108,541 ",42,95,30-May-12,"
                        Art House & International,
                        Documentary,
                        Drama,
                        Special Interest",NR,"
                    90 minutes
                ","
                5 Broken Cameras",-2012
,,,,,,,,,,,,,
"
        ,
        24,990",85%,"
                Nikolaj Coster-Waldau","
                Aksel Hennie","
                Eivind Sander","$794,849 ",88,93,27-Apr-12,"
                        Action & Adventure,
                        Art House & International,
                        Mystery & Suspense","R (for bloody violence including some grisly images, strong sexual content and nudity)","
                    101 minutes
                ","
                Headhunters",-2012
,,,,,,,,,,,,,
"
        ,
        427,008",91%,"
                Jamie Foxx","
                Christoph Waltz","
                Leonardo DiCaprio","$162,804,648 ",228,87,25-Dec-12,"
                        Drama,
                        Western","R (for strong graphic violence throughout, a vicious fight, language and some nudity)","
                    165 minutes
                ","
                Django Unchained",-2012
,,,,,,,,,,,,,
"
        ,
        6,630",81%,"
                Justus Williams","
                Pobo Efekoro","
                Alexis Paredes","$219,407 ",50,96,4-Jun-13,"
                        Documentary,
                        Special Interest",PG (for some language),"
                    102 minutes
                ","
                Brooklyn Castle",-2012
,,,,,,,,,,,,,
"
        ,
        15,742",73%,"
                Jackie Siegel","
                David Siegel","
                Jackie Siegel","$2,401,652 ",101,94,13-Nov-12,"
                        Documentary,
                        Special Interest",PG (for thematic elements and language),"
                    100 minutes
                ","
                The Queen of Versailles",-2012
,,,,,,,,,,,,,
"
        ,
        2,666",74%,"
                Léa Seydoux","
                Kacey Mottet Klein","
                Martin Compston",,64,96,5-Oct-12,"
                        Drama",NR,"
                    97 minutes
                ","
                Sister",-2012
,,,,,,,,,,,,,
"
        ,
        12,504",85%,"
                James Balog","
                Adam LeWinter","
                Jeff Orlowski","$1,309,997 ",65,96,9-Nov-12,"
                        Documentary,
                        Special Interest",PG-13 (for brief strong language),"
                    74 minutes
                ","
                Chasing Ice",-2012
,,,,,,,,,,,,,
"
        ,
        19,099",92%,"
                Rodriguez (VIII) ","
                Ilse Assmann","
                Clarence Avant","$3,100,000 ",115,94,27-Jul-12,"
                        Documentary,
                        Musical & Performing Arts",PG-13 (foir brief strong language and some drug references),"
                    85 minutes
                ","
                Searching for Sugar Man",-2012
,,,,,,,,,,,,,
"
        ,
        27,639",90%,"
                Rita Marley","
                Neville 'Bunny Wailer' Livingston","
                Chris Blackwell","$1,412,124 ",98,95,7-Aug-12,"
                        Documentary,
                        Musical & Performing Arts,
                        Special Interest","PG-13 (for drug content, thematic elements and some violent images)","
                    144 minutes
                ","
                Marley",-2012
,,,,,,,,,,,,,
"
        ,
        93,543",78%,"
                Carey Gibson","
                Beverly Dollarhide","
                Nancy Fisher","$700,000 ",106,95,22-Jan-13,"
                        Documentary,
                        Special Interest",R (for language),"
                    95 minutes
                ","
                The Imposter",-2012
,,,,,,,,,,,,,
"
        ,
        5,291",82%,"
                Anders Danielsen Lie","
                Anders Borchgrvink","
                Malin Crepin","$62,068 ",60,97,25-May-12,"
                        Art House & International,
                        Drama",NR,"
                    95 minutes
                ","
                Oslo, August 31st",-2012
,,,,,,,,,,,,,
"
        ,
        60,750",85%,"
                Mirai Shida","
                Ryûnosuke Kamiki","
                Kirin Kiki","$19,192,510 ",135,94,17-Feb-12,"
                        Animation,
                        Art House & International,
                        Science Fiction & Fantasy",G,"
                    94 minutes
                ","
                The Secret World of Arrietty",-2012
,,,,,,,,,,,,,
"
        ,
        4,346",78%,"
                Mohamed Nasheed","
                Aminath Shauna","
                Mohamed Aslam","$75,233 ",45,98,13-Nov-12,"
                        Documentary","PG (for thematic elements, some violent content and smoking)","
                    101 minutes
                ","
                The Island President",-2012
,,,,,,,,,,,,,
"
        ,
        2,415",90%,"
                Alex Gibney","
                Terry Kohut","
                Gary Smith",,47,98,16-Nov-12,"
                        Documentary,
                        Special Interest",NR,"
                    106 minutes
                ","
                Mea Maxima Culpa: Silence In The House Of God",-2012
,,,,,,,,,,,,,
"
        ,
        5,814",89%,"
                Bill Courtney","
                Montrail ""Money"" Brown","
                O.C. Brown","$561,054 ",95,96,19-Feb-13,"
                        Documentary,
                        Special Interest,
                        Sports & Fitness",PG-13 (for some language),"
                    110 minutes
                ","
                Undefeated",-2012
,,,,,,,,,,,,,
"
        ,
        3,782",87%,"
                Ginger Baker","
                Eric Clapton","
                Steve Winwood","$65,379 ",49,98,28-Nov-12,"
                        Documentary,
                        Musical & Performing Arts",NR,"
                    100 minutes
                ","
                Beware Of Mr. Baker",-2012
,,,,,,,,,,,,,
"
        ,
        5,496",87%,"
                Evan Osnos","
                Huang Hung","
                Ai Weiwei","$500,000 ",75,97,3-Dec-12,"
                        Documentary,
                        Special Interest",R (for some language),"
                    91 minutes
                ","
                Ai Weiwei: Never Sorry",-2012
,,,,,,,,,,,,,
"
        ,
        12,109",74%,"
                Xavier Samuel","
                Robin McLeavy","
                John Brumpton",,54,98,11-Sep-12,"
                        Art House & International,
                        Horror","R (for strong bloody violence and torture, sexuality, some language, teen drug and alcohol use)","
                    84 minutes
                ","
                The Loved Ones",-2012
,,,,,,,,,,,,,
"
        ,
        245,325",80%,"
                Daniel Day-Lewis","
                Sally Field","
                David Strathairn","$129,477,447 ",237,90,16-Nov-12,"
                        Drama","PG-13 (for an intense scene of war violence, some images of carnage and brief strong language)","
                    149 minutes
                ","
                Lincoln",-2012
,,,,,,,,,,,,,
"
        ,
        8,723",87%,"
                Damien Echols","
                Jason Baldwin","
                Jason Baldwin","$309,864 ",107,96,25-Dec-12,"
                        Documentary",R (for disturbing violent content and some language),"
                    146 minutes
                ","
                West of Memphis",-2012
,,,,,,,,,,,,,
"
        ,
        23,462",80%,"
                John Hawkes","
                Helen Hunt","
                William H. Macy","$5,997,134 ",178,93,19-Oct-12,"
                        Comedy,
                        Drama",R (for strong sexuality including graphic nudity and frank dialogue),"
                    95 minutes
                ","
                The Sessions",-2012
,,,,,,,,,,,,,
"
        ,
        1,209,340",90%,"
                Christian Bale","
                Michael Caine","
                Gary Oldman","$448,130,642 ",299,87,20-Jul-12,"
                        Action & Adventure,
                        Drama,
                        Mystery & Suspense","PG-13 (for intense sequences of violence and action, some sensuality and language)","
                    165 minutes
                ","
                The Dark Knight Rises",-2012
,,,,,,,,,,,,,
"
        ,
        25,305",76%,"
                Cécile De France","
                Thomas Doret","
                Jérémie Renier","$1,384,749 ",118,96,16-Mar-12,"
                        Art House & International,
                        Drama","PG-13 (for thematic elements, violence, brief language and smoking)","
                    87 minutes
                ","
                The Kid with a Bike",-2012
,,,,,,,,,,,,,
"
        ,
        259,601",86%,"
                Bradley Cooper","
                Jennifer Lawrence","
                Robert De Niro","$132,088,910 ",213,92,21-Nov-12,"
                        Comedy",R (for language and some sexual content/nudity),"
                    122 minutes
                ","
                Silver Linings Playbook",-2012
,,,,,,,,,,,,,
"
        ,
        20,705",82%,"
                Jean-Louis Trintignant","
                Emmanuelle Riva","
                Isabelle Huppert","$6,700,000 ",193,93,19-Dec-12,"
                        Art House & International,
                        Drama","PG-13 (for mature thematic material including a disturbing act, and for brief language)","
                    127 minutes
                ","
                Amour",-2012
,,,,,,,,,,,,,
"
        ,
        26,182",86%,"
                Mohamed Fellag","
                Sophie Nélisse","
                Emilien Néron","$2,009,041 ",111,97,13-Apr-12,"
                        Art House & International,
                        Comedy,
                        Drama","PG-13 (for mature thematic material, a disturbing image and brief language)","
                    94 minutes
                ","
                Monsieur Lazhar",-2012
,,,,,,,,,,,,,
"
        ,
        10,065",84%,"
                Amy Ziering Kofman","
                Kirby Dick","
                Kori Cioca","$66,167 ",67,99,22-Jun-12,"
                        Documentary,
                        Special Interest",NR,"
                    97 minutes
                ","
                The Invisible War",-2012
,,,,,,,,,,,,,
"
        ,
        6,017",83%,"
                Peter Staley","
                Garance Franke-Ruta","
                Mark Harrington","$122,665 ",72,99,21-Sep-12,"
                        Documentary,
                        Special Interest",NR,"
                    109 minutes
                ","
                How to Survive a Plague",-2012
,,,,,,,,,,,,,
"
        ,
        3,448",84%,"
                Gary Bond","
                Donald Pleasence","
                Chips Rafferty","$27,624 ",49,100,5-Oct-12,"
                        Drama,
                        Mystery & Suspense",R,"
                    116 minutes
                ","
                Wake in Fright",-2012
,,,,,,,,,,,,,
"
        ,
        138,756",86%,"
                Jared Gilman","
                Kara Hayward","
                Bruce Willis","$45,507,865 ",221,93,25-May-12,"
                        Comedy",PG-13 (for sexual content and smoking),"
                    94 minutes
                ","
                Moonrise Kingdom",-2012
,,,,,,,,,,,,,
"
        ,
        206,142",74%,"
                Kristen Connolly","
                Chris Hemsworth","
                Anna Hutchison","$42,043,633 ",242,92,13-Apr-12,"
                        Horror,
                        Mystery & Suspense","R (for strong bloody horror violence and gore, language, drug use and some sexuality/nudity)","
                    95 minutes
                ","
                The Cabin in the Woods",-2012
,,,,,,,,,,,,,
"
        ,
        29,808",92%,"
                Jiro Ono","
                Yoshikazu Ono","
                Takashi Ono","$200,000 ",90,99,9-Mar-12,"
                        Art House & International,
                        Documentary,
                        Special Interest",PG (for mild thematic elements and brief smoking),"
                    81 minutes
                ","
                Jiro Dreams of Sushi",-2012
,,,,,,,,,,,,,
"
        ,
        179,194",82%,"
                Bruce Willis","
                Joseph Gordon-Levitt","
                Emily Blunt","$66,305,045 ",234,93,28-Sep-12,"
                        Action & Adventure,
                        Mystery & Suspense,
                        Science Fiction & Fantasy","R (for strong violence, language, some sexuality/nudity and drug content)","
                    119 minutes
                ","
                Looper",-2012
,,,,,,,,,,,,,
"
        ,
        1,131,538",91%,"
                Robert Downey Jr.","
                Chris Evans","
                Mark Ruffalo","$623,279,547 ",302,92,4-May-12,"
                        Action & Adventure,
                        Science Fiction & Fantasy","PG-13 (for intense sequences of sci-fi violence and action throughout, and a mild drug reference)","
                    142 minutes
                ","
                Marvel's The Avengers",-2012
,,,,,,,,,,,,,
"
        ,
        372,792",86%,"
                Daniel Craig","
                Javier Bardem","
                Judi Dench","$299,300,000 ",325,92,9-Nov-12,"
                        Action & Adventure,
                        Mystery & Suspense","PG-13 (for intense violent sequences throughout, some sexuality, language and smoking)","
                    145 minutes
                ","
                Skyfall",-2012
,,,,,,,,,,,,,
"
        ,
        207,738",90%,"
                Ben Affleck","
                Alan Arkin","
                John Goodman","$136,019,448 ",305,96,12-Oct-12,"
                        Drama,
                        Mystery & Suspense",R (for language and some violent images),"
                    120 minutes
                ","
                Argo",-2012
,,,,,,,,,,,,,
"
        ,
        23,658",49%,"
                Olivia Wilde","
                Jake Johnson (XVI)","
                Anna Kendrick","$200,000 ",95,83,23-Aug-13,"
                        Comedy,
                        Drama",R (for language throughout),"
                    90 minutes
                ","
                Drinking Buddies",-2013
,,,,,,,,,,,,,
"
        ,
        791",69%,"
                Ohad Knoller","
                Oz Zehavi","
                Lior Ashkenazi","$77,149 ",37,86,25-Jan-13,"
                        Drama",NR,"
                    83 minutes
                ","
                Yossi",-2013
,,,,,,,,,,,,,
"
        ,
        76,177",58%,"
                Joseph Gordon-Levitt","
                Scarlett Johansson","
                Julianne Moore",,152,80,27-Sep-13,"
                        Comedy,
                        Drama","R (for strong graphic sexual material and dialogue throughout, nudity, language and some drug use)","
                    90 minutes
                ","
                Don Jon",-2013
,,,,,,,,,,,,,
"
        ,
        3,212",53%,"
                Toby Jones","
                Cosimo Fusco","
                Guido Adorni","$28,602 ",79,84,14-Jun-13,"
                        Horror",NR,"
                    94 minutes
                ","
                Berberian Sound Studio",-2013
,,,,,,,,,,,,,
"
        ,
        8,253",78%,"
                Ali Suliman","
                Reymonde Amsellem","
                Reymond Amsellem","$1,103,645 ",48,86,21-Jun-13,"
                        Drama","R (for some violent images, language and brief sexuality)","
                    102 minutes
                ","
                The Attack",-2013
,,,,,,,,,,,,,
"
        ,
        1,220",75%,"
                Golshifteh Farahani","
                Hamidrez Javdan","
                Hamidreza Javdan","$71,282 ",49,86,14-Aug-13,"
                        Drama","R (for sexual content, some violence and language)","
                    102 minutes
                ","
                The Patience Stone",-2013
,,,,,,,,,,,,,
"
        ,
        73,014",75%,"
                Bradley Cooper","
                Ryan Gosling","
                Eva Mendes","$21,300,000 ",164,80,29-Mar-13,"
                        Drama","R (for language throughout, some violence, teen drug and alcohol use, and a sexual reference)","
                    141 minutes
                ","
                The Place Beyond The Pines",-2013
,,,,,,,,,,,,,
"
        ,
        131,200",73%,"
                Nicholas Hoult","
                Teresa Palmer","
                Rob Corddry","$65,000,000 ",153,81,1-Feb-13,"
                        Comedy",PG-13 (for zombie violence and some language),"
                    97 minutes
                ","
                Warm Bodies",-2013
,,,,,,,,,,,,,
"
        ,
        179,152",82%,"
                Leonardo DiCaprio","
                Jonah Hill","
                Margot Robbie","$91,330,760 ",205,78,25-Dec-13,"
                        Drama","R (for sequences of strong sexual content, graphic nudity, drug use and language throughout, and for some violence)","
                    179 minutes
                ","
                The Wolf of Wall Street",-2013
,,,,,,,,,,,,,
"
        ,
        111,115",84%,"
                Emma Thompson","
                Tom Hanks","
                Colin Farrell","$53,260,198 ",189,79,20-Dec-13,"
                        Comedy,
                        Drama",PG-13 (for thematic elements including some unsettling images),"
                    120 minutes
                ","
                Saving Mr. Banks",-2013
,,,,,,,,,,,,,
"
        ,
        11,180",49%,"
                Bill Sage","
                Ambyr Childers","
                Julia Garner","$54,371 ",72,86,27-Sep-13,"
                        Drama,
                        Horror,
                        Mystery & Suspense","R (for disturbing violence, bloody images, some sexuality, nudity and language)","
                    100 minutes
                ","
                We Are What We Are",-2013
,,,,,,,,,,,,,
"
        ,
        8,984",62%,"
                Alice Lowe (III)","
                Eileen Davies","
                Steve Oram","$26,183 ",85,86,10-May-13,"
                        Comedy",NR,"
                    98 minutes
                ","
                Sightseers",-2013
,,,,,,,,,,,,,
"
        ,
        2,883",53%,"
                Patrick Riester","
                Myles Paige","
                Gordon Kindlmann","$101,218 ",65,87,17-Jul-13,"
                        Comedy",NR,"
                    92 minutes
                ","
                Computer Chess",-2013
,,,,,,,,,,,,,
"
        ,
        15,208",79%,"
                Julianne Moore","
                Onata Aprile","
                Joanna Vanderham","$1,000,000 ",89,86,3-May-13,"
                        Drama",R (for some language),"
                    99 minutes
                ","
                What Maisie Knew",-2013
,,,,,,,,,,,,,
"
        ,
        3,559",74%,"
                Barbara Sukowa","
                Axel Milberg","
                Janet McTeer","$411,530 ",60,88,29-May-13,"
                        Drama",NR,"
                    109 minutes
                ","
                Hannah Arendt",-2013
,,,,,,,,,,,,,
"
        ,
        2,802",70%,"
                Fady Elsayed","
                Said Taghmaoui","
                James Floyd (III) ","$10,305 ",40,89,22-Mar-13,"
                        Drama",NR,"
                    111 minutes
                ","
                My Brother The Devil",-2013
,,,,,,,,,,,,,
"
        ,
        181,456",71%,"
                James Franco","
                Jonah Hill","
                Seth Rogen","$96,200,000 ",179,82,12-Jun-13,"
                        Action & Adventure,
                        Comedy,
                        Drama,
                        Horror","R (for crude and sexual content throughout, brief graphic nudity, pervasive language, drug use and some violence)","
                    107 minutes
                ","
                This Is the End",-2013
,,,,,,,,,,,,,
"
        ,
        69,506",70%,"
                Jude Law","
                Rooney Mara","
                Catherine Zeta-Jones","$32,154,410 ",169,83,8-Feb-13,"
                        Drama,
                        Mystery & Suspense","R (for sexuality, nudity, violence and language)","
                    106 minutes
                ","
                Side Effects",-2013
,,,,,,,,,,,,,
"
        ,
        26,339",77%,"
                Amy Acker","
                Alexis Denisof","
                Clark Gregg","$4,200,000 ",135,85,7-Jun-13,"
                        Comedy",PG-13 (for some sexuality and brief drug use),"
                    108 minutes
                ","
                Much Ado About Nothing",-2013
,,,,,,,,,,,,,
"
        ,
        107,362",87%,"
                Jake Gyllenhaal","
                Hugh Jackman","
                Viola Davis","$60,962,878 ",190,82,20-Sep-13,"
                        Drama,
                        Mystery & Suspense","R (for disturbing violent content including torture, and language throughout)","
                    153 minutes
                ","
                Prisoners",-2013
,,,,,,,,,,,,,
"
        ,
        12,627",69%,"
                Amy Seimetz","
                Shane Carruth","
                Andrew Sensenig","$415,067 ",120,86,5-Apr-13,"
                        Drama,
                        Mystery & Suspense,
                        Romance",NR,"
                    96 minutes
                ","
                Upstream Color",-2013
,,,,,,,,,,,,,
"
        ,
        6,870",78%,"
                Paul Brannigan","
                John Henshaw","
                Gary Maitland","$687,405 ",83,88,12-Apr-13,"
                        Comedy,
                        Drama",NR,"
                    106 minutes
                ","
                The Angels' Share",-2013
,,,,,,,,,,,,,
"
        ,
        4,109",69%,"
                Hadas Yaron","
                Yiftach Klein","
                Irith Sheleg","$1,130,272 ",62,89,24-May-13,"
                        Art House & International,
                        Drama",PG (for mild thematic elements and brief smoking),"
                    90 minutes
                ","
                Fill the Void",-2013
,,,,,,,,,,,,,
"
        ,
        55,341",84%,"
                Steve Carell","
                Toni Collette","
                Allison Janney","$21,501,098 ",148,85,5-Jul-13,"
                        Comedy,
                        Drama","PG-13 (for thematic elements, language, some sexual content and brief drug material)","
                    103 minutes
                ","
                The Way Way Back",-2013
,,,,,,,,,,,,,
"
        ,
        482,107",78%,"
                Robert Downey Jr.","
                Gwyneth Paltrow","
                Don Cheadle","$408,992,272 ",237,80,3-May-13,"
                        Action & Adventure,
                        Science Fiction & Fantasy","PG-13 (for sequences of intense sci-fi action and violence throughout, and brief suggestive content)","
                    109 minutes
                ","
                Iron Man 3",-2013
,,,,,,,,,,,,,
"
        ,
        5,547",84%,"
                Fabrice Luchini","
                Kristin Scott Thomas","
                Emmanuelle Seigner","$469,746 ",72,89,19-Apr-13,"
                        Mystery & Suspense",R (for sexual content and language),"
                    105 minutes
                ","
                In the House",-2013
,,,,,,,,,,,,,
"
        ,
        3,418",82%,"
                Tobi Vail","
                Kathleen Hanna","
                Joan Jett","$121,418 ",52,90,25-Mar-14,"
                        Documentary,
                        Musical & Performing Arts",NR,"
                    80 minutes
                ","
                The Punk Singer",-2013
,,,,,,,,,,,,,
"
        ,
        5,278",72%,"
                Jeff Bridges","
                Tom Colicchio","
                Raj Patel","$230,522 ",56,90,25-Jun-13,"
                        Documentary",PG (for thematic elements and brief mild language),"
                    84 minutes
                ","
                A Place at the Table",-2013
