titles,box_office,total
Passengers,0.00000000000,0
Flushed Away,64.66567200000,64665672
Madagascar 3: Europe's Most Wanted,216.39148200000,216391482
Mission: Impossible—Ghost Protocol,209.39790300000,209397903
How to Train Your Dragon 2,177.00292400000,177002924
Tarzan,171.09181900000,171091819
Mr. Peabody & Sherman,111.50643000000,111506430
Rise of the Guardians,103.41275800000,103412758
Sahara,68.67192500000,68671925
Ghostbusters,127.71131400000,127711314
Die Another Day,160.94213900000,160942139
Star Trek,257.73001900000,257730019
Armageddon,201.57818200000,201578182
Men in Black 2,190.41880300000,190418803
Captain America: The First Avenger,176.65450500000,176654505
Kung Fu Panda 3,143.52861900000,143528619
Lethal Weapon 4,130.44460300000,130444603
G.I. Joe: Retaliation,122.52306000000,122523060
The Last Samurai,111.11057500000,111110575
Fun With Dick And Jane,110.55000000000,110550000
Exodus: Gods and Kings,65.01451300000,65014513
The BFG,55.45177900000,55451779
Gods of Egypt,31.15346400000,31153464
Spider-Man,403.70637500000,403706375
Watchmen,107.50979900000,107509799
Stealth,32.11674600000,32116746
The Incredible Hulk,134.80691300000,134806913
Hulk,132.17723400000,132177234
Final Fantasy: The Spirits Within,32.13183000000,32131830
"The Twilight Saga: Breaking Dawn, Part 2",292.32473700000,292324737
The Croods,187.16842500000,187168425
The Revenant,183.63789400000,183637894
The World is Not Enough,126.93066000000,126930660
Rango,123.25758100000,123257581
Master and Commander: The Far Side of the World,93.92638600000,93926386
Turbo,83.02813000000,83028130
Teenage Mutant Ninja Turtles: Out of the Shadows,82.05160100000,82051601
Happy Feet Two,64.00646600000,64006466
Miami Vice,63.47883800000,63478838
War of the Worlds,234.28035400000,234280354
Penguins of Madagascar,83.35091100000,83350911
The Hunger Games: Catching Fire,424.66804700000,424668047
Harry Potter and the Prisoner of Azkaban,249.53895200000,249538952
The Bourne Ultimatum,227.47107000000,227471070
Kung Fu Panda,215.43459100000,215434591
Ant-Man,180.20216300000,180202163
Home,177.39751000000,177397510
Puss in Boots,149.26050400000,149260504
Megamind,148.41585300000,148415853
Bad Boys II,138.54087000000,138540870
Rio 2,131.53843500000,131538435
Salt,118.31136800000,118311368
Noah,101.20004400000,101200044
The Adventures of Tintin,77.59183100000,77591831
After Earth,60.52209700000,60522097
Australia,49.55400200000,49554002
R.I.P.D.,33.61885500000,33618855
